Book Name,Author,Rating,Number_of_Reviews,Price,Description,Listening Time,Ranks and Genre,Time,combined_text,cluster,dbscan_cluster,agglo_cluster
Beloved,Toni Morrison,4.5,2397.0,1131.0,"Toni Morrison is the Robert F. Goheen Professor of Humanities at Princeton University. She has received the National Book Critics Circle Award and the Pulitzer Prize. In 1993 she was awarded the Nobel Prize in Literature. She lives in Rockland County, New York, and Princeton, New Jersey.",12 hours and 3 minutes,",#1,958 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in African American Literature,#14 in Coming of Age Fiction,#64 in Historical Fiction (Audible Audiobooks & Originals)",723.0,"Beloved Toni Morrison Toni Morrison is the Robert F. Goheen Professor of Humanities at Princeton University. She has received the National Book Critics Circle Award and the Pulitzer Prize. In 1993 she was awarded the Nobel Prize in Literature. She lives in Rockland County, New York, and Princeton, New Jersey. ,#1,958 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in African American Literature,#14 in Coming of Age Fiction,#64 in Historical Fiction (Audible Audiobooks & Originals)",5,-1,2
The Ballad of Songbirds and Snakes: A Hunger Games Novel,Suzanne Collins,4.6,6520.0,703.0,"It is the morning of the reaping that will kick off the 10th annual Hunger Games. In the Capitol, 18-year-old Coriolanus Snow is preparing for his one shot at glory as a mentor in the Games. The once-mighty house of Snow has fallen on hard times, its fate hanging on the slender chance that Coriolanus will be able to out charm, outwit, and outmaneuver his fellow students to mentor the winning tribute.",16 hours and 16 minutes,",#1,684 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Survival Stories for Teens,#1 in Dystopian Fiction for Teens",976.0,"The Ballad of Songbirds and Snakes: A Hunger Games Novel Suzanne Collins It is the morning of the reaping that will kick off the 10th annual Hunger Games. In the Capitol, 18-year-old Coriolanus Snow is preparing for his one shot at glory as a mentor in the Games. The once-mighty house of Snow has fallen on hard times, its fate hanging on the slender chance that Coriolanus will be able to out charm, outwit, and outmaneuver his fellow students to mentor the winning tribute. ,#1,684 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Survival Stories for Teens,#1 in Dystopian Fiction for Teens",0,-1,6
The Bastard of Istanbul,Elif Shafak,4.2,411.0,820.0,Penguin presents the audiobook edition of The Bastard of Istanbul by Edif Shafak.  ,11 hours and 4 minutes,",#2,213 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#54 in Women's Fiction,#64 in World Literature (Audible Audiobooks & Originals),#79 in Historical Fiction (Audible Audiobooks & Originals)",664.0,"The Bastard of Istanbul Elif Shafak Penguin presents the audiobook edition of The Bastard of Istanbul by Edif Shafak.   ,#2,213 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#54 in Women's Fiction,#64 in World Literature (Audible Audiobooks & Originals),#79 in Historical Fiction (Audible Audiobooks & Originals)",5,-1,2
How Clients Buy: A Practical Guide to Business Development for Consulting and Professional Services,Tom McMakin,4.6,58.0,586.0,The real-world guide to selling your services and bringing in business....,6 hours and 34 minutes,",#2,340 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Business Consulting,#4 in Customer Service,#39 in Business Sales",394.0,"How Clients Buy: A Practical Guide to Business Development for Consulting and Professional Services Tom McMakin The real-world guide to selling your services and bringing in business.... ,#2,340 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Business Consulting,#4 in Customer Service,#39 in Business Sales",4,-1,0
Inferno,Dan Brown,4.4,26244.0,1093.0,"Harvard symbologist Robert Langdon wakes up in Florence disoriented and confused. He doesn't remember how he got there. But in an international mystery that takes him across Europe to save the world from a terrifying fate, he must decipher codes hidden in Renaissance artworks with only a few lines from Dante's Inferno to guide him. ",17 hours and 12 minutes,",#2,108 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#73 in Suspense,#494 in Literature & Fiction (Audible Audiobooks & Originals),#3,126 in Crime, Thriller & Mystery (Books)",1032.0,"Inferno Dan Brown Harvard symbologist Robert Langdon wakes up in Florence disoriented and confused. He doesn't remember how he got there. But in an international mystery that takes him across Europe to save the world from a terrifying fate, he must decipher codes hidden in Renaissance artworks with only a few lines from Dante's Inferno to guide him.  ,#2,108 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#73 in Suspense,#494 in Literature & Fiction (Audible Audiobooks & Originals),#3,126 in Crime, Thriller & Mystery (Books)",3,-1,2
"Zero Day: John Puller, Book 1",David Baldacci,4.4,4936.0,323.0,"John Puller is a former war hero and now the best military investigator in the U.S. Army’s Criminal Investigative Division. He is a loner with few possessions by preference, but he has an indomitable spirit and an unstoppable determination for finding the truth. His father was the most decorated U.S. Marine in history, but now resides in a nursing home far from his battlefield glory. Puller’s older brother, also a military vet, is serving a life sentence in Leavenworth Penitentiary. Puller is called out to a remote, rural area far from any military outpost to investigate into the brutal murder of a family in their home. The dead husband was in the army and the wife worked for a Pentagon contractor. The local homicide detective, a woman with personal demons of her own, clashes with Puller over the investigation. What neither of them knows is what is waiting for them across the street from the murdered family’s home. It is something that will turn an already complicated case on its head. As Puller digs through deception after red herring, he realizes that absolutely nothing, and nobody, he’s so far seen in this small town, are what they seem. He is truly one man against an overwhelming force. ",13 hours and 7 minutes,",#1,971 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#11 in International Mystery & Crime,#15 in War & Military Fiction,#67 in Suspense",787.0,"Zero Day: John Puller, Book 1 David Baldacci John Puller is a former war hero and now the best military investigator in the U.S. Army’s Criminal Investigative Division. He is a loner with few possessions by preference, but he has an indomitable spirit and an unstoppable determination for finding the truth. His father was the most decorated U.S. Marine in history, but now resides in a nursing home far from his battlefield glory. Puller’s older brother, also a military vet, is serving a life sentence in Leavenworth Penitentiary. Puller is called out to a remote, rural area far from any military outpost to investigate into the brutal murder of a family in their home. The dead husband was in the army and the wife worked for a Pentagon contractor. The local homicide detective, a woman with personal demons of her own, clashes with Puller over the investigation. What neither of them knows is what is waiting for them across the street from the murdered family’s home. It is something that will turn an already complicated case on its head. As Puller digs through deception after red herring, he realizes that absolutely nothing, and nobody, he’s so far seen in this small town, are what they seem. He is truly one man against an overwhelming force.  ,#1,971 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#11 in International Mystery & Crime,#15 in War & Military Fiction,#67 in Suspense",0,-1,0
To-Do List Formula: A Stress-Free Guide to Creating To-Do Lists That Work!,Damon Zahariades,4.4,489.0,233.0,Finally! Discover how to create to-do lists that work! ,2 hours and 35 minutes,",#924 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#14 in Stress Management,#16 in Time Management & Productivity,#1,466 in Analysis & Strategy",155.0,"To-Do List Formula: A Stress-Free Guide to Creating To-Do Lists That Work! Damon Zahariades Finally! Discover how to create to-do lists that work!  ,#924 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#14 in Stress Management,#16 in Time Management & Productivity,#1,466 in Analysis & Strategy",4,-1,4
The Little Book of Market Wizards: Lessons from the Greatest Traders,Jack D. Schwager,3.7,14.0,501.0,An accessible look at the art of investing and how to adopt the practices of top professionals ,3 hours and 49 minutes,",#2,381 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#52 in Marketing (Audible Audiobooks & Originals),#566 in Children's Family, Personal & Social Issues (Books),#3,833 in Analysis & Strategy",229.0,"The Little Book of Market Wizards: Lessons from the Greatest Traders Jack D. Schwager An accessible look at the art of investing and how to adopt the practices of top professionals  ,#2,381 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#52 in Marketing (Audible Audiobooks & Originals),#566 in Children's Family, Personal & Social Issues (Books),#3,833 in Analysis & Strategy",3,-1,0
Eleventh Hour,S. Hussain Zaidi,4.0,90.0,668.0,"New Delhi, 2017. It is nine years since the 26/11 terror attacks in Mumbai, and the wounds have still not healed. Especially not for Superintendent of Police Vikrant Singh, who ends up landing a slap on the High Commissioner of Pakistan's face when he meets him at an event. ",5 hours and 5 minutes,",#2,106 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#14 in Espionage Thrillers,#492 in Literature & Fiction (Audible Audiobooks & Originals),#3,121 in Crime, Thriller & Mystery (Books)",305.0,"Eleventh Hour S. Hussain Zaidi New Delhi, 2017. It is nine years since the 26/11 terror attacks in Mumbai, and the wounds have still not healed. Especially not for Superintendent of Police Vikrant Singh, who ends up landing a slap on the High Commissioner of Pakistan's face when he meets him at an event.  ,#2,106 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#14 in Espionage Thrillers,#492 in Literature & Fiction (Audible Audiobooks & Originals),#3,121 in Crime, Thriller & Mystery (Books)",3,-1,2
Shadow and Bone,Leigh Bardugo,4.4,1794.0,668.0,"Surrounded by enemies, the once-great nation of Ravka has been torn in two by the Shadow Fold, a swath of near impenetrable darkness crawling with monsters who feast on human flesh. Now its fate may rest on the shoulders of one lonely refugee. ",9 hours and 21 minutes,",#2,079 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#14 in Fantasy for Teens,#224 in Children's Science Fiction (Books),#1,330 in Children's Fantasy (Books)",561.0,"Shadow and Bone Leigh Bardugo Surrounded by enemies, the once-great nation of Ravka has been torn in two by the Shadow Fold, a swath of near impenetrable darkness crawling with monsters who feast on human flesh. Now its fate may rest on the shoulders of one lonely refugee.  ,#2,079 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#14 in Fantasy for Teens,#224 in Children's Science Fiction (Books),#1,330 in Children's Fantasy (Books)",5,-1,1
"My Sister, the Serial Killer",Oyinkan Braithwaite,4.2,2947.0,569.0,Shortlisted for the Women's Prize for Fiction 2019,4 hours and 30 minutes,",#613 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Women Sleuth Mysteries,#3 in Dark Humour Literature & Fiction,#8 in Women's Fiction",270.0,"My Sister, the Serial Killer Oyinkan Braithwaite Shortlisted for the Women's Prize for Fiction 2019 ,#613 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Women Sleuth Mysteries,#3 in Dark Humour Literature & Fiction,#8 in Women's Fiction",5,-1,2
Vaishali Ki Nagarvadhu [City of Vaishali],Acharya Chatursen,4.2,128.0,1171.0,‘I take back all my books thus far and declare Vaishali ki Nagarvadhu as my only work.’ (Acharya Chatursen)  ,23 hours and 53 minutes,",#630 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#35 in Classic Literature,#602 in Crime, Thriller & Mystery (Books),#673 in Classic Fiction (Books)",1433.0,"Vaishali Ki Nagarvadhu [City of Vaishali] Acharya Chatursen ‘I take back all my books thus far and declare Vaishali ki Nagarvadhu as my only work.’ (Acharya Chatursen)   ,#630 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#35 in Classic Literature,#602 in Crime, Thriller & Mystery (Books),#673 in Classic Fiction (Books)",3,-1,2
"Corporate Finance: The Ultimate Guide to Financial Reporting, Business Valuation, Risk Management, Financial Management, and Financial Statements",Greg Shields,4.7,8.0,836.0,If you want to learn about corporate finance but don't feel like reading boring textbooks then keep reading....,12 hours and 31 minutes,",#703 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Education (Audible Audiobooks & Originals),#79 in Money & Finance,#358 in Education (Books)",751.0,"Corporate Finance: The Ultimate Guide to Financial Reporting, Business Valuation, Risk Management, Financial Management, and Financial Statements Greg Shields If you want to learn about corporate finance but don't feel like reading boring textbooks then keep reading.... ,#703 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Education (Audible Audiobooks & Originals),#79 in Money & Finance,#358 in Education (Books)",4,-1,0
The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,4.7,1276.0,703.0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4 hours and 36 minutes,",#1,894 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sports Psychology,#1 in Tennis (Audible Audiobooks & Originals),#13 in Tennis (Books)",276.0,"The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance W. Timothy Gallwey 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
 ,#1,894 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sports Psychology,#1 in Tennis (Audible Audiobooks & Originals),#13 in Tennis (Books)",7,-1,4
The Top Five Regrets of the Dying: A Life Transformed by the Dearly Departing,Bronnie Ware,4.3,589.0,1063.0,"A courageous, life-changing memoir that teaches us to apply the lessons learned by those nearing their death to our own life. ",9 hours and 13 minutes,",#2,051 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Grief & Loss,#21 in New Thought Spirituality,#191 in Biographies & Memoirs (Audible Audiobooks & Originals)",553.0,"The Top Five Regrets of the Dying: A Life Transformed by the Dearly Departing Bronnie Ware A courageous, life-changing memoir that teaches us to apply the lessons learned by those nearing their death to our own life.  ,#2,051 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Grief & Loss,#21 in New Thought Spirituality,#191 in Biographies & Memoirs (Audible Audiobooks & Originals)",3,-1,4
Introduction to Intermediate French Conversation Lessons,Audible Inc.,5.0,1.0,0.0,"Start speaking French in minutes, and grasp the language, culture and customs in just minutes more with Intermediate French, a completely new way to learn French with ease! Intermediate French will have you speaking with proper pronunciation from the very first lesson and arm you with cultural insight and other information to utterly shock and amaze your French friends.",Not yet known,",            5 star,          ,            ,              100%,            ,          ",10.0,"Introduction to Intermediate French Conversation Lessons Audible Inc. Start speaking French in minutes, and grasp the language, culture and customs in just minutes more with Intermediate French, a completely new way to learn French with ease! Intermediate French will have you speaking with proper pronunciation from the very first lesson and arm you with cultural insight and other information to utterly shock and amaze your French friends. ,            5 star,          ,            ,              100%,            ,          ",0,-1,4
Secrets of Closing the Sale,Zig Ziglar,4.6,280.0,1171.0,"Zig Ziglar provides vital strategies for specific closes, hundreds of sales questions, and dozens of persuasion techniques to help everyone sell their ideas, or themselves. No matter what your age, gender, occupation, or lifestyle, these proven techniques from America's selling sensation can work for you.",15 hours and 14 minutes,",#2,553 in Analysis & Strategy,#3,492 in Personal Development & Self-Help,#17,805 in Textbooks & Study Guides",914.0,"Secrets of Closing the Sale Zig Ziglar Zig Ziglar provides vital strategies for specific closes, hundreds of sales questions, and dozens of persuasion techniques to help everyone sell their ideas, or themselves. No matter what your age, gender, occupation, or lifestyle, these proven techniques from America's selling sensation can work for you. ,#2,553 in Analysis & Strategy,#3,492 in Personal Development & Self-Help,#17,805 in Textbooks & Study Guides",9,-1,0
Lean vs Agile vs Design Thinking: What You Really Need to Know to Build High-Performing Digital Product Teams,Jeff Gothelf,3.3,87.0,132.0,"As companies evolve to adopt, integrate, and leverage software as the defining element of their success in the 21st century, a rash of processes and methodologies are vying for their product teams' attention. In the worst of cases, each discipline on these teams - product management, design, and software engineering - learn a different model. This short, tactical book reconciles the perceived differences in Lean Startup, Design Thinking, and Agile software development by focusing not on rituals and practices but on the values that underpin all three methods. ",45 minutes,",#1,284 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Power Resource Engineering,#2 in Project Management,#77 in Business Management",10.0,"Lean vs Agile vs Design Thinking: What You Really Need to Know to Build High-Performing Digital Product Teams Jeff Gothelf As companies evolve to adopt, integrate, and leverage software as the defining element of their success in the 21st century, a rash of processes and methodologies are vying for their product teams' attention. In the worst of cases, each discipline on these teams - product management, design, and software engineering - learn a different model. This short, tactical book reconciles the perceived differences in Lean Startup, Design Thinking, and Agile software development by focusing not on rituals and practices but on the values that underpin all three methods.  ,#1,284 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Power Resource Engineering,#2 in Project Management,#77 in Business Management",4,-1,0
Salt: A World History,Mark Kurlansky,4.4,966.0,1003.0,"From its single origin, to the other discoveries made because of it, fascinating tales of salt and the people who have been involved with it through the ages are interwoven here. Fifteen recipes are included that will meet with every taste. Mark Kurlansky has produced a kaleidoscope of history, a multi-layered masterpiece that blends economic, scientific, political, religious, and culinary records into a rich and memorable tale.",13 hours and 48 minutes,",#2,028 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Gastronomy,#4 in Geology,#8 in History of Civilization",828.0,"Salt: A World History Mark Kurlansky From its single origin, to the other discoveries made because of it, fascinating tales of salt and the people who have been involved with it through the ages are interwoven here. Fifteen recipes are included that will meet with every taste. Mark Kurlansky has produced a kaleidoscope of history, a multi-layered masterpiece that blends economic, scientific, political, religious, and culinary records into a rich and memorable tale. ,#2,028 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Gastronomy,#4 in Geology,#8 in History of Civilization",3,-1,0
Modern Man in Search of a Soul,Carl Gustav Jung,4.6,512.0,837.0,"Modern Man in Search of a Soul is the classic introduction to the thought of Carl Jung. Along with Freud and Adler, Jung was one of the chief founders of modern psychiatry. In this book, Jung examines some of the most contested and crucial areas in the field of analytical psychology: dream analysis, the primitive unconscious, and the relationship between psychology and religion. ",9 hours and 2 minutes,",#1,604 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Jungian Psychology,#17,870 in Textbooks & Study Guides",542.0,"Modern Man in Search of a Soul Carl Gustav Jung Modern Man in Search of a Soul is the classic introduction to the thought of Carl Jung. Along with Freud and Adler, Jung was one of the chief founders of modern psychiatry. In this book, Jung examines some of the most contested and crucial areas in the field of analytical psychology: dream analysis, the primitive unconscious, and the relationship between psychology and religion.  ,#1,604 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Jungian Psychology,#17,870 in Textbooks & Study Guides",0,-1,0
Infinite Jest,David Foster Wallace,4.2,1503.0,500.0,"A gargantuan, mind-altering comedy about the Pursuit of Happiness in America set in an addicts' halfway house and a tennis academy, and featuring the most endearingly screwed-up family to come along in recent fiction, Infinite Jest explores essential questions about what entertainment is and why it has come to so dominate our lives; about how our desire for entertainment affects our need to connect with other people; and about what the pleasures we choose say about who we are.",56 hours and 12 minutes,",#865 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sports Fiction,#8 in Humorous Fiction,#9 in Fiction Sagas",3372.0,"Infinite Jest David Foster Wallace A gargantuan, mind-altering comedy about the Pursuit of Happiness in America set in an addicts' halfway house and a tennis academy, and featuring the most endearingly screwed-up family to come along in recent fiction, Infinite Jest explores essential questions about what entertainment is and why it has come to so dominate our lives; about how our desire for entertainment affects our need to connect with other people; and about what the pleasures we choose say about who we are. ,#865 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Sports Fiction,#8 in Humorous Fiction,#9 in Fiction Sagas",5,-1,2
Growth: From Microorganisms to Megacities,Vaclav Smil,4.5,135.0,820.0,"Growth has been both an unspoken and an explicit aim of our individual and collective striving. It governs the lives of microorganisms and galaxies; it shapes the capabilities of our extraordinarily large brains and the fortunes of our economies. Growth is manifested in annual increments of continental crust, a rising gross domestic product, a child's growth chart, the spread of cancerous cells. In this magisterial book, Vaclav Smil offers systematic investigation of growth in nature and society, from tiny organisms to the trajectories of empires and civilizations.",26 hours and 15 minutes,",#546 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Environmental Public Policy,#1 in Ecology (Audible Audiobooks & Originals),#2 in Environmental Conservation",1575.0,"Growth: From Microorganisms to Megacities Vaclav Smil Growth has been both an unspoken and an explicit aim of our individual and collective striving. It governs the lives of microorganisms and galaxies; it shapes the capabilities of our extraordinarily large brains and the fortunes of our economies. Growth is manifested in annual increments of continental crust, a rising gross domestic product, a child's growth chart, the spread of cancerous cells. In this magisterial book, Vaclav Smil offers systematic investigation of growth in nature and society, from tiny organisms to the trajectories of empires and civilizations. ,#546 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Environmental Public Policy,#1 in Ecology (Audible Audiobooks & Originals),#2 in Environmental Conservation",3,-1,0
Willpower: Rediscovering the Greatest Human Strength,Roy F. Baumeister,4.4,660.0,1005.0,"One of the world's most esteemed and influential psychologists, Roy F. Baumeister, teams with New York Times science writer John Tierney to reveal the secrets of self-control and how to master it.",9 hours and 6 minutes,",#2,189 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Compulsive Disorders,#160 in Psychology (Audible Audiobooks & Originals),#320 in Personal Success",546.0,"Willpower: Rediscovering the Greatest Human Strength Roy F. Baumeister One of the world's most esteemed and influential psychologists, Roy F. Baumeister, teams with New York Times science writer John Tierney to reveal the secrets of self-control and how to master it. ,#2,189 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Compulsive Disorders,#160 in Psychology (Audible Audiobooks & Originals),#320 in Personal Success",9,-1,0
Rich Dad's Before You Quit Your Job: 10 Real-Life Lessons Every Entrepreneur Should Know About Building a Multimillion-Dollar Business,Robert T. Kiyosaki,4.7,188.0,670.0,"When Before You Quit Your Job was written and published, it was a guidebook for aspiring entrepreneurs. Today - with the job market in shambles, overseas outsourcing and high unemployment - it can be a path to the salvation so many are looking for: A way take control of their life and use their skills and talents to create their future.",7 hours and 58 minutes,",#480 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in New Business Enterprises,#19 in Entrepreneurship (Audible Audiobooks & Originals),#20 in Business Careers",478.0,"Rich Dad's Before You Quit Your Job: 10 Real-Life Lessons Every Entrepreneur Should Know About Building a Multimillion-Dollar Business Robert T. Kiyosaki When Before You Quit Your Job was written and published, it was a guidebook for aspiring entrepreneurs. Today - with the job market in shambles, overseas outsourcing and high unemployment - it can be a path to the salvation so many are looking for: A way take control of their life and use their skills and talents to create their future. ,#480 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in New Business Enterprises,#19 in Entrepreneurship (Audible Audiobooks & Originals),#20 in Business Careers",4,-1,0
A Children's History of India,Subhadra Sen Gupta,4.4,291.0,836.0,"Which were the first cities of India, and how were they discovered? What was it like living in Mughal times? How did the British, who had come to trade in India, end up ruling thecountry? How has India changed after Independence? ",11 hours and 49 minutes,",#1,455 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Asian History for Children,#124 in Children's History (Books),#435 in Children's Reference (Books)",709.0,"A Children's History of India Subhadra Sen Gupta Which were the first cities of India, and how were they discovered? What was it like living in Mughal times? How did the British, who had come to trade in India, end up ruling thecountry? How has India changed after Independence?  ,#1,455 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Asian History for Children,#124 in Children's History (Books),#435 in Children's Reference (Books)",5,-1,0
If Tomorrow Comes,Sidney Sheldon,4.5,1246.0,702.0,"Tracy Whitney is on top of the world. She is young, beautiful, intelligent, and about to marry into wealth and glamour until, betrayed by her own innocence, she finds herself in prison, framed by a ruthless mafia gang and abandoned by the man she loves. Beaten and broken, but surviving with stunning ingenuity, Tracy emerges from her savage ordeal determined to avenge herself from those who have destroyed her life. From New Orleans to London to Paris to Madrid to Amsterdam, Tracy plays for the highest stakes in a deadly game. Only one man can challenge her - he is handsome, persuasive, and every bit as daring. And only one man can stop her - he is an evil genius whose only hope of salvation is to destroy Tracy. ",12 hours and 36 minutes,",#2,306 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#17 in Espionage Thrillers,#3,574 in Crime, Thriller & Mystery (Books),#4,367 in Contemporary Fiction (Books)",756.0,"If Tomorrow Comes Sidney Sheldon Tracy Whitney is on top of the world. She is young, beautiful, intelligent, and about to marry into wealth and glamour until, betrayed by her own innocence, she finds herself in prison, framed by a ruthless mafia gang and abandoned by the man she loves. Beaten and broken, but surviving with stunning ingenuity, Tracy emerges from her savage ordeal determined to avenge herself from those who have destroyed her life. From New Orleans to London to Paris to Madrid to Amsterdam, Tracy plays for the highest stakes in a deadly game. Only one man can challenge her - he is handsome, persuasive, and every bit as daring. And only one man can stop her - he is an evil genius whose only hope of salvation is to destroy Tracy.  ,#2,306 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#17 in Espionage Thrillers,#3,574 in Crime, Thriller & Mystery (Books),#4,367 in Contemporary Fiction (Books)",3,-1,2
The Girl Who Drank the Moon,Kelly Barnhill,4.7,3587.0,645.0,"Every year, the people of the Protectorate leave a baby as an offering to the witch who lives in the forest. But Xan is in fact a good witch who rescues the children. ",9 hours and 31 minutes,",#2,073 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#22 in Fairy Tales, Folk Tales & Myths for Children,#23 in Family Life Fiction for Children,#23 in Audiobooks on Family Life for Children",571.0,"The Girl Who Drank the Moon Kelly Barnhill Every year, the people of the Protectorate leave a baby as an offering to the witch who lives in the forest. But Xan is in fact a good witch who rescues the children.  ,#2,073 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#22 in Fairy Tales, Folk Tales & Myths for Children,#23 in Family Life Fiction for Children,#23 in Audiobooks on Family Life for Children",5,-1,1
Turtles All the Way Down,John Green,4.4,3550.0,683.0,"Penguin presents the audiobook edition of Turtles All the Way Down by John Green, read by Kate Rudd. ",7 hours and 11 minutes,",#1,051 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fiction on Friendship for Teens,#1 in Literary Fiction for Teens,#1 in Fiction on Mental Illness for Teens",431.0,"Turtles All the Way Down John Green Penguin presents the audiobook edition of Turtles All the Way Down by John Green, read by Kate Rudd.  ,#1,051 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fiction on Friendship for Teens,#1 in Literary Fiction for Teens,#1 in Fiction on Mental Illness for Teens",5,-1,2
The Far Field: A Novel,Madhuri Vijay,4.4,128.0,1172.0,"In the wake of her mother's death, Shalini, a privileged and restless young woman from Bangalore, sets out for a remote Himalayan village in the troubled northern region of Kashmir. Certain that the loss of her mother is somehow connected to the decade-old disappearance of Bashir Ahmed, a charming Kashmiri salesman who frequented her childhood home, she is determined to confront him. But upon her arrival, Shalini is brought face to face with Kashmir's politics, as well as the tangled history of the local family that takes her in. And when life in the village turns volatile and old hatreds threaten to erupt into violence, Shalini finds herself forced to make a series of choices that could hold dangerous repercussions for the very people she has come to love.",14 hours,",#683 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#43 in Literary Fiction,#3,479 in Literature & Fiction (Books),#7,273 in Textbooks & Study Guides",10.0,"The Far Field: A Novel Madhuri Vijay In the wake of her mother's death, Shalini, a privileged and restless young woman from Bangalore, sets out for a remote Himalayan village in the troubled northern region of Kashmir. Certain that the loss of her mother is somehow connected to the decade-old disappearance of Bashir Ahmed, a charming Kashmiri salesman who frequented her childhood home, she is determined to confront him. But upon her arrival, Shalini is brought face to face with Kashmir's politics, as well as the tangled history of the local family that takes her in. And when life in the village turns volatile and old hatreds threaten to erupt into violence, Shalini finds herself forced to make a series of choices that could hold dangerous repercussions for the very people she has come to love. ,#683 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#43 in Literary Fiction,#3,479 in Literature & Fiction (Books),#7,273 in Textbooks & Study Guides",0,-1,4
